Player,Team,Age,Touchdowns,Yards Per Game
Tom Brady,TAM,44,36,310.6
Derek Carr,LVR,30,19,297.3
Matthew Stafford,LAR,33,35,295.9
Justin Herbert,LAC,23,32,289.9
Patrick Mahomes,KAN,26,30,289.4
Josh Allen,BUF,25,31,266.7
Kirk Cousins,MIN,33,29,261.1
Joe Burrow,CIN,25,26,260
Dak Prescott,DAL,28,25,276.8
Aaron Rodgers,GNB,38,30,268.2
Matt Ryan,ATL,36,18,238.6
Ben Roethlisberger,PIT,39,19,247.2
Jimmy Garoppolo,SFO,30,18,244
Mac Jones,NWE,23,18,226.3
Ryan Tannehill,TEN,33,14,222.7
Teddy Bridgewater,DEN,29,18,218
Kyler Murray,ARI,24,20,276.3
Jared Goff,DET,27,17,231.3
Carson Wentz,IND,29,23,214.6
Trevor Lawrence,JAX,22,9,210.4
Taylor Heinicke,WAS,28,19,225.5
Lamar Jackson,BAL,24,16,240.2
Jalen Hurts,PHI,23,14,210.1
Baker Mayfield,CLE,26,13,216.9
Russell Wilson,SEA,33,16,223.5
Daniel Jones,NYG,24,10,220.7
Tua Tagovailoa,MIA,23,14,214.1
Sam Darnold,CAR,24,7,220.7
Davis Mills,HOU,23,10,194.6
Zach Wilson,NYJ,22,6,191.1
Justin Fields,CHI,22,7,155.8
Jacoby Brissett,MIA,29,5,142.6
Jameis Winston,NOR,27,14,167.1
